age,income,employment_type,loan_amount,tenure_months,emi,credit_history_months,active_loans,past_delinquency,new_device_flag,kyc_mismatch,recent_txn_velocity,emi_income_ratio,loan_income_ratio,default
23,28308,self-employed,10039,3,3779,45,0,0,0,0,6,0.1335127158209474,0.3546327656251602,0
57,47642,student,97207,6,16856,38,3,1,0,0,38,0.3538109852092037,2.0403412431861256,1
27,24392,salaried,66825,12,6133,58,3,1,0,0,8,0.2514572262250435,2.739516514967853,1
41,18140,salaried,21632,6,3967,1,1,1,0,0,39,0.21869437929907853,1.1924439146221748,1
29,65889,salaried,13217,3,5205,17,3,0,0,0,7,0.07900443266607772,0.20059198681830318,0
59,48692,self-employed,32792,6,6060,49,0,0,0,0,20,0.12446187962364429,0.6734509986643035,0
38,36036,salaried,43147,6,7785,7,3,1,0,0,45,0.21605580331005778,1.1973018496021839,0
24,39947,self-employed,48016,6,8519,46,0,0,1,0,12,0.21326371769150587,1.2019673096464423,0
45,47587,salaried,89467,3,30388,27,1,1,0,1,29,0.6385789632217092,1.8800341494138635,1
34,54600,salaried,67729,3,23038,11,2,0,0,0,37,0.4219431800629777,1.2404564726924145,1
29,28660,salaried,68728,12,6621,12,4,0,0,0,2,0.23102673604435545,2.39801504616275,1
46,45492,salaried,51896,12,4748,23,2,0,0,0,37,0.10437544157606164,1.140767041550105,0
22,32399,self-employed,29103,3,10158,7,0,0,0,0,3,0.3135532335784313,0.8982563394376402,0
40,37165,student,31800,3,11061,19,4,0,0,0,31,0.29761999239724196,0.8556372738218401,0
48,42410,self-employed,49501,6,9075,51,0,1,0,0,6,0.21398125399652887,1.1671903154970662,0
27,39899,salaried,86384,3,29248,30,1,0,0,0,4,0.7330566469898624,2.1650222221517375,1
28,51033,self-employed,75021,9,9068,26,4,0,0,0,32,0.1777016859471682,1.4700342890906788,0
55,47306,salaried,60245,9,7161,45,2,0,1,0,19,0.15139517946811756,1.2735090686548938,0
34,17377,salaried,78268,9,9306,53,3,0,0,0,15,0.5355511072862772,4.503994923607579,1
37,19632,salaried,93592,12,8684,36,3,0,0,1,11,0.44233062188473476,4.767160366578669,1
56,34454,salaried,5576,3,2201,34,4,0,0,0,30,0.06390512428800406,0.1618378006754192,0
24,67429,salaried,35667,9,4669,7,1,0,0,0,25,0.06924922578453324,0.5289534111462182,0
22,27226,salaried,77258,3,25957,46,0,0,0,0,41,0.9534182574360283,2.837642413626754,1
26,36876,student,54324,12,4947,55,3,0,0,0,47,0.13415482456601474,1.4731269303937924,0
24,31954,self-employed,85099,6,14628,40,1,0,0,0,13,0.45778635232865966,2.663104586659115,1
49,31689,salaried,41951,3,14470,46,0,0,0,0,5,0.4566319068315097,1.3238208062066574,0
38,42673,student,93815,3,31661,17,4,0,0,0,49,0.741950301179517,2.1984320152297876,1
46,61011,student,92757,6,16030,56,1,0,0,0,1,0.26274273278371824,1.520315974077905,1
54,46839,self-employed,31660,6,5704,40,4,0,0,0,20,0.12179548278820689,0.6759248588726259,0
30,27947,self-employed,31906,3,11073,38,4,0,0,0,49,0.3962179400985232,1.1416595477639426,0
56,81298,salaried,33110,3,11467,6,2,0,0,0,48,0.14105148966057923,0.4072648739119879,0
34,41178,salaried,73715,9,8609,4,2,0,0,0,45,0.20906792390849158,1.790128926612636,1
51,31341,salaried,92109,9,10780,6,4,1,0,0,27,0.34397950077774053,2.938865542078974,1
35,61181,student,72250,6,12532,56,1,0,1,0,12,0.20484620485812657,1.1809135803778432,1
28,32963,self-employed,30709,3,10816,37,2,0,1,0,11,0.3281290806728804,0.931593714803252,0
34,64943,salaried,86357,9,10224,29,0,0,0,0,36,0.15744324542800067,1.329720874917001,0
43,26940,self-employed,31790,6,5800,47,0,0,0,0,12,0.2153085195626344,1.1800140087265396,0
41,61450,salaried,54528,3,18531,22,1,0,0,0,22,0.3015677162871099,0.8873489913152016,0
36,43015,self-employed,98545,9,11300,15,0,0,0,1,8,0.2627048735501755,2.2909069413807543,1
38,59365,salaried,73637,3,24977,7,4,0,0,1,24,0.42074412230426045,1.2403946460462107,1
44,68526,self-employed,77238,6,13808,47,0,0,0,0,23,0.2015064946739708,1.1271262386991072,0
46,23010,salaried,42550,6,7323,21,2,1,0,0,33,0.31825390899617023,1.849124428152369,1
45,59136,salaried,51129,6,8945,9,0,0,1,0,28,0.15127437513164066,0.8645918029849423,0
49,18866,self-employed,80550,12,7091,38,0,0,0,0,15,0.3758697404899053,4.269485598723693,1
35,24292,salaried,99408,9,11295,29,0,0,0,0,25,0.46499999045166374,4.09217189547165,1
21,27948,self-employed,30851,9,3843,34,4,1,0,0,14,0.13751439482867583,1.103837583853319,1
45,47554,salaried,57015,12,5275,28,1,0,0,0,2,0.11093551952860752,1.198938914327088,0
27,40495,student,32329,3,11563,11,1,1,0,0,18,0.2855485584092721,0.7983407796501218,0
29,37492,self-employed,7094,6,1556,11,3,0,0,1,24,0.04150407118495851,0.18920886051315539,0
44,42193,salaried,21556,12,2661,39,2,0,0,0,9,0.06307693390986217,0.5108840245459226,0
21,48869,self-employed,20488,6,3617,55,1,0,0,0,24,0.0740179019464853,0.41924033331262067,0
28,50023,salaried,15433,6,3148,5,3,0,1,0,20,0.06293111321945187,0.308513629662809,0
44,56412,self-employed,94583,3,31843,43,0,0,0,0,13,0.564483656664205,1.676631876818689,1
31,67300,salaried,32254,9,4153,24,4,1,1,0,35,0.061718222068728845,0.479253339345829,0
37,39679,salaried,14691,12,2177,43,0,0,0,0,41,0.05487462528963001,0.37024095947603125,0
28,32183,student,17822,3,6381,40,4,0,1,0,45,0.19826896431570565,0.5537591720969228,0
55,49203,salaried,5915,12,1055,53,2,0,0,0,29,0.021452217168169266,0.120216144511555,0
55,22836,salaried,81192,6,14104,29,1,0,0,0,24,0.6176580860721467,3.5554111054578033,1
53,29819,salaried,21221,12,2256,48,2,0,0,0,48,0.07568490308120289,0.7116498971898272,0
25,54990,self-employed,10349,12,1827,27,1,1,0,0,11,0.03322570687685418,0.1881954099220107,0
59,38138,salaried,50656,6,8967,47,1,0,0,0,23,0.23512385161626156,1.328226472534589,0
48,21877,salaried,64439,9,7656,27,0,1,0,0,2,0.3499882127657492,2.9454983220548465,1
27,17652,salaried,66839,9,7781,57,4,1,1,0,47,0.4408121934201153,3.7862784849540083,1
29,40730,salaried,33261,3,11396,49,0,0,0,0,26,0.279807222714142,0.8166066140226731,0
28,57128,student,68485,3,23565,56,2,0,0,0,31,0.412505008950204,1.1987897856885907,0
32,56928,student,54146,9,6870,6,3,0,0,0,5,0.12069355034998815,0.9511281348299536,0
54,41663,self-employed,74766,12,7076,13,4,1,0,0,27,0.169856354008193,1.7945329802591559,1
53,70133,salaried,65336,6,11485,49,2,0,0,0,6,0.16376703382348412,0.931592867581946,0
43,38427,salaried,41355,6,7261,35,2,0,0,0,24,0.18896412619743844,1.0761769740903175,0
44,37921,self-employed,81556,9,9356,12,0,0,0,1,30,0.246734391211474,2.150654137203275,1
57,10000,student,80615,12,7242,37,3,0,1,0,38,0.7242925148517556,8.0615,1
55,33289,self-employed,41266,9,5208,37,1,0,0,0,13,0.15646211342046643,1.239608010821939,0
42,52780,salaried,43795,6,7775,38,3,0,0,0,2,0.1473092351682608,0.8297615170362408,0
47,63459,self-employed,56063,12,4966,37,4,1,0,0,4,0.07826575020968873,0.8834464600097134,0
55,27546,salaried,93013,6,15893,41,3,0,0,0,36,0.5769522275690722,3.3765838077541055,1
21,46933,self-employed,96220,6,16669,27,1,0,0,0,19,0.3551734240665552,2.050122318586625,1
55,55703,student,55464,9,6726,43,4,0,0,0,2,0.12074767575491702,0.9957060716946902,0
57,40168,student,13514,3,5261,22,1,0,0,0,47,0.13097883708156016,0.3364359404147096,0
34,10000,salaried,93782,6,16428,27,2,1,0,0,41,1.6428334653742303,9.3782,1
23,43709,salaried,51598,9,6772,21,1,1,1,0,10,0.15495416239867482,1.1804796915886144,1
21,51421,salaried,94898,9,10951,57,1,0,1,0,46,0.21297960386129883,1.8454941026456768,1
25,25788,salaried,45623,6,8290,14,2,0,0,0,39,0.32149485774567393,1.7691111542707352,1
46,36187,salaried,28257,9,3438,52,1,0,0,0,15,0.0950278316250375,0.7808458129813104,0
34,22667,self-employed,9761,12,1386,27,0,0,0,0,22,0.06118370946228109,0.4306153936338722,0
59,10000,salaried,80194,9,9403,57,0,0,0,0,38,0.9403590047072837,8.0194,1
47,55405,salaried,26107,12,2680,23,3,0,0,0,13,0.048381259994224025,0.47120239720830615,0
29,39943,salaried,26175,12,2762,56,1,0,0,0,18,0.0691712284257524,0.6552961499130647,0
35,63965,student,59636,3,20167,11,1,0,0,0,38,0.3152855900504034,0.9323205425781657,0
35,52859,self-employed,80841,12,6895,40,3,0,0,0,49,0.13045441829142523,1.5293464923673499,0
46,34686,self-employed,57327,12,5173,30,0,0,0,0,10,0.14913624012498466,1.6527010694705195,1
33,38752,salaried,70166,12,6313,29,1,0,0,0,45,0.16291944668244993,1.810628476969305,1
52,48492,self-employed,64102,3,21884,17,0,0,0,0,27,0.4512851385059292,1.3218907533866282,0
59,54503,salaried,88361,3,29831,55,1,0,0,1,18,0.547326287240831,1.6212060376459436,1
52,44840,self-employed,30739,9,3767,9,2,0,0,0,13,0.0840104559354026,0.6855254067324834,0
24,56583,self-employed,57357,12,5305,40,0,0,0,0,46,0.09377044959075538,1.0136629475733598,0
50,35549,self-employed,64002,6,11311,24,2,0,0,0,29,0.31817613741979905,1.8003391251966416,1
57,25042,salaried,57711,6,10079,50,3,0,0,0,39,0.40249872330772984,2.3044903985961454,1
43,39027,salaried,62567,12,5319,27,4,1,0,0,21,0.13631279138848124,1.6031367869443442,1
59,43077,student,86545,12,7538,40,2,0,1,0,44,0.17500202178109645,2.0090407012138356,1
35,21976,student,59140,3,19977,6,2,0,0,0,45,0.909004881150806,2.6909989174417728,1
49,19949,salaried,96544,6,16655,9,0,0,0,0,25,0.8348854678056112,4.8394998944023,1
56,46710,salaried,65124,9,8053,21,3,0,0,0,40,0.1724136593561178,1.394195940592511,0
33,33904,salaried,6967,3,2705,50,1,0,0,0,44,0.07979022742168317,0.20548805456821514,0
52,37512,salaried,75998,3,25812,19,0,0,0,0,4,0.6881165624675748,2.0259441550609822,1
27,34604,self-employed,24430,9,2867,5,4,0,0,0,44,0.08287346276563048,0.7059753018390347,0
42,62809,self-employed,88383,9,10677,41,1,0,1,0,23,0.16999433075031448,1.407170643792756,1
48,58926,salaried,22211,12,2422,27,3,0,0,0,21,0.04111589424330342,0.3769277172748449,0
22,21439,self-employed,20238,12,1912,34,4,0,0,0,10,0.08919025415337821,0.9439500109930244,0
26,32008,salaried,33784,3,12218,15,2,0,0,0,36,0.3817227235557168,1.055482771427459,0
48,52750,salaried,72451,12,6431,54,4,0,0,0,23,0.12192345175392123,1.3734770060782657,0
48,49029,salaried,41365,3,14105,1,0,0,0,0,24,0.28769871215735504,0.843683600564038,0
40,39378,salaried,6892,6,1799,7,1,1,0,0,33,0.045691021843490276,0.17502100534240245,0
50,22935,self-employed,23561,12,2422,41,1,1,0,1,45,0.10560281951744413,1.0272498761005529,1
31,29761,salaried,62022,3,21280,18,2,0,0,0,4,0.7150318357448352,2.0839395819056583,1
48,32248,salaried,40620,9,5423,55,3,0,0,0,39,0.16816315223419592,1.259593997275485,0
45,44154,salaried,83660,3,28817,27,1,0,0,0,35,0.6526453668751806,1.8946928119537625,1
59,65555,student,23709,3,8430,24,2,0,0,0,27,0.12860557359848543,0.3616607712269576,0
53,29696,student,20173,6,3783,23,3,1,0,1,31,0.12742041415533412,0.6792988602263414,1
21,24609,self-employed,83636,6,14144,32,3,0,0,0,32,0.5747734978016342,3.3985289251336996,1
47,38371,salaried,82809,12,7002,45,3,1,0,0,32,0.182506296451189,2.15810279205831,1
33,55476,salaried,23180,6,4557,31,4,0,0,1,40,0.08214365885284228,0.4178377065023499,0
23,18296,salaried,31158,3,10866,57,1,0,0,0,35,0.593893704836263,1.7029248711555478,1
59,61804,salaried,80606,9,9332,50,3,1,0,0,38,0.15100634953792938,1.3042089816489617,1
26,37419,salaried,84425,9,9952,40,3,0,1,1,23,0.2659740987102322,2.256174809626677,1
28,28985,salaried,53788,6,9373,40,1,0,0,0,34,0.3233741213851874,1.8557056727017274,1
47,15997,salaried,16640,6,3378,5,3,0,0,1,49,0.2112076357950456,1.0401845873493007,0
29,50597,self-employed,62596,9,7456,46,4,0,0,0,8,0.14736507030309018,1.237128603371852,0
57,37432,self-employed,47753,12,4206,14,2,0,1,0,7,0.1123781747410206,1.2757119256623117,0
53,42560,self-employed,98457,6,16754,18,4,0,0,0,36,0.39365319688887007,2.3133377133271087,1
44,26487,salaried,54965,3,18952,41,2,0,0,0,48,0.7155360065530098,2.075104404159086,1
35,35213,salaried,15948,6,3020,54,1,0,1,0,25,0.08577933517516094,0.4528937214153044,0
52,32701,salaried,65168,9,7587,17,1,0,1,0,14,0.23201367650257024,1.9928271125778703,1
52,38491,student,99861,6,17462,57,2,0,0,0,9,0.4536808432365544,2.594391719876196,1
44,29956,salaried,12747,12,1579,12,2,0,0,0,37,0.052721730534782255,0.4255139442222605,0
32,16987,salaried,56904,6,10149,6,1,0,0,0,41,0.5974728396900275,3.349799454394928,1
59,80927,salaried,30895,6,5886,39,4,0,0,0,39,0.07273979376470616,0.38176147117530046,0
22,19548,salaried,19997,3,7266,30,3,0,0,0,29,0.37171286094560013,1.0229201069263982,0
23,42721,salaried,68502,12,6050,55,0,0,0,0,20,0.1416149202841622,1.6034404809858174,0
57,13419,self-employed,16160,9,2387,35,0,0,0,0,12,0.17790868418914782,1.2042103330206224,0
37,10044,salaried,47815,12,4972,30,4,1,0,0,20,0.4950402644939713,4.760416851282591,1
22,41467,salaried,43110,6,7581,17,1,0,1,0,3,0.18284229460750762,1.0396119054024837,1
22,42615,salaried,65841,12,6198,54,0,0,0,0,27,0.14544453938783092,1.5450007310358782,0
48,58922,salaried,92254,12,8395,45,2,0,0,1,6,0.1424805382018059,1.5656841393571304,1
43,45993,salaried,13848,3,4971,43,0,0,0,0,11,0.1080994027823701,0.3010879697995361,0
57,37752,salaried,77061,9,8732,27,1,0,0,1,40,0.23130266560344445,2.0411974726817017,1
52,25755,self-employed,9769,9,1560,19,2,1,0,0,11,0.060602751953975444,0.3792903163756946,0
53,62485,salaried,66486,3,22397,12,1,0,0,1,9,0.358450487290297,1.0640282849623481,1
21,53932,salaried,9777,3,3199,21,4,0,0,1,27,0.059317753101495556,0.18128125511339163,0
39,21305,salaried,50559,9,5977,56,0,0,0,1,2,0.2805590298131801,2.373098463025613,1
22,40569,self-employed,8037,6,1859,45,1,0,0,0,45,0.04582734821648174,0.19810470259257257,0
46,42160,self-employed,5578,3,2695,21,4,1,1,0,24,0.06393244540787903,0.13230304421609598,0
52,34815,self-employed,11373,3,4068,7,4,0,0,0,20,0.1168519696191937,0.32666770789883426,0
26,51577,self-employed,89499,3,30300,30,1,1,1,0,45,0.5874646874593247,1.7352247307267283,1
52,52475,salaried,59716,3,20538,54,2,1,0,1,9,0.3913885426015893,1.1379678963393307,1
24,37142,student,17438,3,5987,31,3,0,0,0,28,0.16121061369174408,0.46948641797687957,0
31,35786,salaried,28062,3,9833,51,3,0,0,0,33,0.2747704167051566,0.7841403396766922,0
37,62484,salaried,74524,9,8723,57,1,0,0,0,11,0.13960306038724765,1.192682133512277,0
58,53992,self-employed,15233,6,2688,48,4,0,0,0,40,0.049795194499292234,0.2821313418411028,0
44,41085,self-employed,8635,6,1806,50,0,1,0,0,47,0.043965371813463994,0.21017195331633376,0
25,15561,salaried,14416,12,1426,28,4,0,0,0,34,0.091691969879943,0.9263671509190684,0
54,45160,student,95022,12,8485,41,1,1,0,0,19,0.18789558552072638,2.104118614810096,1
26,50471,salaried,29085,12,2892,3,0,1,0,1,2,0.0573074038998874,0.5762686452699528,0
42,10000,salaried,5210,6,1363,43,2,1,0,0,3,0.13639844061554987,0.521,0
31,43778,salaried,13772,12,1615,8,1,0,0,0,34,0.03689138540841776,0.314586935765278,0
36,33749,salaried,75097,12,6665,16,4,0,0,0,12,0.19750002844785894,2.2251213364560445,1
53,36687,student,34316,9,4337,58,1,0,1,0,12,0.11822386736669778,0.9353674656020542,0
29,26389,self-employed,45380,9,5592,23,3,1,0,0,21,0.21191048127139125,1.7196372990609887,1
26,37777,salaried,33902,9,4120,17,2,0,1,1,11,0.10907041670324678,0.8974205425212006,0
36,60879,self-employed,59777,3,20532,29,4,0,0,0,11,0.3372583274570915,0.9818844295046948,0
49,33304,self-employed,78981,3,26530,38,1,0,0,0,36,0.7966176978903398,2.3715153314547717,1
23,54483,self-employed,48737,3,16823,28,1,0,1,0,13,0.308775606236142,0.8945260036929372,0
40,27905,salaried,96343,9,11477,10,3,0,0,0,6,0.41129713453264855,3.452531463778172,1
56,51381,self-employed,10755,6,2308,5,3,0,1,1,15,0.04492704954328066,0.2093172228499022,0
39,40024,salaried,11666,3,4093,55,2,0,0,0,30,0.10226473233268217,0.29146901352324983,0
46,45280,student,72395,9,8469,30,4,0,1,0,22,0.18704430837590938,1.5988163549002734,1
23,40107,self-employed,65272,3,22236,39,0,0,0,0,11,0.5544249796778546,1.6274344542126784,1
39,49624,salaried,29456,6,5018,51,1,1,0,0,9,0.10113596089407151,0.593579222517481,0
40,10000,salaried,15290,6,3147,42,1,1,0,0,47,0.3147630253521514,1.529,1
52,18702,salaried,84291,12,7754,37,2,0,0,1,27,0.41461416640238175,4.5069085858733295,1
27,46256,self-employed,27073,9,3727,41,2,0,0,0,27,0.08057773528538928,0.5852836079888869,0
53,10000,salaried,93139,3,31290,11,2,0,0,1,43,3.1290651909785625,9.3139,1
59,32041,self-employed,92806,12,8334,40,2,0,0,0,20,0.26013180649622386,2.8964497524043678,1
38,39184,self-employed,52152,3,18235,38,2,0,1,0,5,0.46536794203454257,1.3309212678940987,1
21,27577,salaried,49940,6,8697,39,1,0,0,0,15,0.3153724522181065,1.8108704338614214,1
31,29626,self-employed,85020,9,10117,26,4,0,1,0,27,0.3415016848136672,2.869720466745609,1
48,44073,salaried,18034,9,2346,33,1,0,0,0,42,0.05324189085801428,0.40917795638180454,0
45,55139,salaried,61553,3,21183,32,0,0,0,1,11,0.3841723436056283,1.1163156079421457,1
43,25623,salaried,16162,3,5688,19,4,1,0,0,36,0.2220032070467888,0.6307550426214572,0
51,31374,self-employed,13004,9,1966,37,3,1,1,0,45,0.06269422849745288,0.41448165159451367,0
50,29031,student,78808,6,13800,10,4,0,0,0,19,0.47536564577855955,2.7146074255888464,1
55,10000,self-employed,93374,12,8367,15,2,0,0,0,45,0.8367341252339665,9.3374,1
27,42125,salaried,81815,3,27767,58,1,0,0,0,5,0.6591516844211368,1.942164639444842,1
36,54020,salaried,60271,9,7252,39,4,0,1,0,17,0.13425269659943478,1.1157005769019854,0
46,55249,self-employed,20702,9,2896,42,2,0,1,0,22,0.05242169041792959,0.3746992190589372,0
22,26938,salaried,33819,9,4101,19,1,0,0,0,21,0.15225994418886366,1.2554149093190283,0
21,21224,self-employed,46343,12,3990,18,1,0,0,0,6,0.18799600410655257,2.18346420811815,1
32,40324,salaried,69304,9,7946,11,3,0,0,0,37,0.1970599839331647,1.718675155797539,1
25,52439,salaried,26864,12,2716,45,0,1,0,0,6,0.051807636971119286,0.5122894421459545,0
57,42322,salaried,24956,9,3591,35,4,0,0,0,27,0.08485455063665458,0.5896591321392235,0
52,44339,self-employed,19557,6,3429,6,1,0,0,0,2,0.07733694913308428,0.4410732942094143,0
29,57127,salaried,50629,12,4463,27,3,0,0,0,17,0.07813963065586531,0.8862462383137842,0
55,28912,salaried,56575,3,19698,19,2,0,1,0,24,0.6813156902860954,1.9567355405326503,1
39,36700,salaried,11264,6,2383,16,3,0,1,0,49,0.06494149953015471,0.30691722850868836,0
36,64519,salaried,27206,9,3346,40,1,0,0,1,20,0.05187563043963845,0.42167369515227004,0
23,37047,student,17447,3,6287,35,0,0,0,0,5,0.1697013357315495,0.4709317256881183,0
40,20989,salaried,29018,12,2797,26,3,0,0,0,3,0.13328872298416103,1.3824714306896164,0
44,29959,salaried,94086,3,31782,28,2,0,1,0,37,1.0608503180765005,3.140422973224648,1
53,25927,salaried,53087,9,6450,59,2,1,0,0,17,0.24877862040308352,2.0475327330867215,1
44,45357,salaried,20556,6,3883,35,3,0,0,0,46,0.08561557434629755,0.45320019274463014,0
31,26560,salaried,76898,6,13424,32,2,0,0,0,26,0.5054278808864258,2.8951693710919355,1
28,44065,salaried,6468,3,2498,10,4,0,0,0,1,0.05671022065115292,0.14678144978396707,0
56,28959,self-employed,56769,3,19542,58,2,0,0,0,10,0.674833580863111,1.960321745160613,1
58,10000,salaried,95867,9,11092,23,3,0,0,1,32,1.1092951498578871,9.5867,1
40,44599,self-employed,15489,6,3384,51,2,0,0,1,21,0.07587959121965185,0.3472924711754135,0
55,42226,student,78240,6,13751,24,2,0,0,0,25,0.3256575474221306,1.8528449324948681,1
45,47766,student,81155,9,9674,54,3,0,0,0,42,0.20254530510385865,1.6989987871520662,1
55,29905,salaried,7877,6,1822,28,4,0,0,0,1,0.060931470648827916,0.26339908052493577,0
45,28306,student,40866,12,3807,58,2,0,1,0,18,0.13450337370956536,1.443679700524687,1
49,46022,self-employed,92859,6,15819,24,0,0,0,1,15,0.34373369430172324,2.0177087956760134,1
38,62785,salaried,64178,9,7489,17,4,0,0,0,9,0.11928123939610749,1.0221820482544062,0
38,40167,self-employed,56739,12,5361,36,0,0,0,0,46,0.1334801217932216,1.4125591970471725,0
22,46368,salaried,68252,6,11816,54,2,0,0,0,20,0.25484406211510324,1.4719387751642619,0
55,35176,salaried,54313,3,18791,57,0,0,0,0,5,0.5342244485966053,1.544027597401672,1
36,16845,self-employed,36828,6,6663,8,1,1,0,0,28,0.39557214618277886,2.1862163665734786,1
56,54511,self-employed,42658,3,14615,35,4,1,1,0,46,0.2681220850796614,0.7825513138639006,1
53,53626,self-employed,8854,6,1952,10,1,0,0,0,16,0.03640811046306097,0.16510582060306417,0
24,50661,self-employed,78607,9,9227,14,3,0,0,0,40,0.18214576618838074,1.551608790444465,0
53,37270,salaried,60352,9,7176,33,1,0,0,0,37,0.1925398488667413,1.6192829283227814,0
34,48955,salaried,89280,3,30024,49,4,0,0,0,4,0.613306001035883,1.8236843096068993,1
41,53406,self-employed,85215,12,7551,57,1,0,0,1,22,0.14138777972859826,1.5955944789663508,0
40,64302,salaried,34567,6,6277,42,0,0,0,0,29,0.09762533353625397,0.5375695246819399,0
28,54827,salaried,68889,12,6115,10,3,0,0,1,22,0.11154498235207069,1.2564590398740791,1
27,40957,salaried,96633,6,16611,29,2,0,0,0,36,0.40557424288092636,2.359358567229672,1
23,20376,salaried,11126,12,1484,21,4,0,1,0,47,0.07287736981340705,0.5460291596024541,0
37,42334,salaried,81073,3,27636,39,1,1,0,0,18,0.652811261752996,1.9150405197700693,1
53,43848,salaried,88028,12,7838,59,0,0,0,0,1,0.17876980794574993,2.007541350578306,1
32,50635,salaried,70227,12,6180,29,1,0,1,0,38,0.12206651014900767,1.3869138059247463,0
42,60308,salaried,20248,3,7068,32,4,0,1,0,19,0.1172016225840775,0.3357410812305616,0
42,38572,salaried,40755,3,14285,38,3,0,0,0,46,0.3703599613992098,1.0565751240291872,0
50,71514,salaried,32936,9,4272,38,1,0,0,0,25,0.05974735089802675,0.4605479758873612,0
58,13610,student,42770,12,3862,36,2,1,0,0,48,0.2838135916043319,3.1423818507891914,1
58,46290,self-employed,99375,6,16965,9,4,0,0,0,43,0.3665024236051103,2.146786023434456,1
28,28022,salaried,72579,12,6821,34,2,0,1,0,18,0.2434184501679725,2.590054144095325,1
47,11391,self-employed,19500,9,2499,46,4,1,0,0,36,0.21938601620364281,1.7117771136285989,1
47,36973,salaried,66927,9,8557,29,4,0,0,0,13,0.2314566573745033,1.8101399470622543,0
54,18142,salaried,27090,12,2859,39,1,0,1,1,27,0.15760664903489607,1.493186446079993,1
41,37578,salaried,38307,3,13328,15,0,0,0,0,9,0.35467906728094467,1.0193838734950726,0
50,40521,self-employed,6693,3,2918,23,1,0,0,0,28,0.07203329367132076,0.1651714177493104,0
53,56778,salaried,29178,9,3625,20,1,0,1,0,43,0.06385093522520116,0.5138951309789649,0
48,17386,salaried,12082,12,1719,34,4,1,0,0,13,0.0988753566634057,0.6949180402731686,0
53,53626,self-employed,20071,6,3992,13,3,0,0,1,29,0.074445974256314,0.37427267437426814,0
25,41471,self-employed,16354,3,6035,7,0,1,0,0,26,0.1455308685649481,0.3943458915225554,0
39,55432,salaried,12420,6,2668,3,4,0,0,0,37,0.048137860561310385,0.2240553254993513,0
24,33523,self-employed,34447,3,12365,44,1,0,0,0,7,0.36885497886149166,1.0275407169807944,0
55,20016,salaried,57000,12,5476,24,2,0,0,1,39,0.27359544230262417,2.8476747029512537,1
